Number of Elements,Insertion Sort Time,Selection Sort Time,Merge Sort Time,Bubble Sort Time
5.0,9.54772E-4,5.481E-6,2.6476E-5,2.151E-6
10.0,6.495E-6,5.014E-6,1.1384E-5,5.7E-7
50.0,6.9611E-5,9.4861E-5,5.586E-5,4.76E-7
100.0,3.06041E-4,3.31269E-4,1.24626E-4,5.26E-7
200.0,8.17397E-4,0.00102911,2.58304E-4,6.41E-7
500.0,0.00504871,0.002860525,1.38445E-4,5.76E-7
1000.0,0.003034203,0.003397505,2.32076E-4,5.34E-7
2000.0,0.010480944,0.068543873,0.001851822,5.65E-7
5000.0,0.092258213,0.019349573,7.8535E-4,4.19E-7
10000.0,0.128421195,0.077855119,0.001597883,5.93E-7
